Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	in neural circuit with [RO:0000300]	first order logic expression [IAO:0000426]	(forall (?x ?y)         (iff             (neural_circuit_path  ?x ?y)            (and                (\"neuron ; CL_0000540\" ?x)                (\"neuron ; CL_0000540\" ?y)                (or                     (synapsed_by ?x ?y)                     (synapsed_to ?x ?y)))))         (forall (...s ?x ?y ?z)         (iff             (neural_circuit_path  ...s ?x ?y ?z)            (and                (neural_circuit_path  ...s ?x ?y)                (\"neuron ; CL_0000540\" ?z)                (or                     (synapsed_by ?y ?z)                     (synapsed_to ?y ?z)))))         (forall (?x ?y)         (iff             (in_neural_circuit_with ?x ?y)            (exists (...s)                (neural_circuit_path  ?x ...s ?y)))) 	
WARN	annotation_whitespace	contained in [RO:0001018]	editor note [IAO:0000116]	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	ends during [RO:0002093]	comment [rdfs:comment]	X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). @en	
WARN	annotation_whitespace	synapsed by [RO:0002103]	definition [IAO:0000115]	Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. @en	
WARN	annotation_whitespace	has postsynaptic terminal in [RO:0002110]	definition [IAO:0000115]	Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. @en	
WARN	annotation_whitespace	synapsed to [RO:0002120]	definition [IAO:0000115]	 Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.            @en	
WARN	annotation_whitespace	never in taxon [RO:0002161]	expand assertion to [IAO:0000425]	?X DisjointWith RO_0002162 some ?Y 	
WARN	annotation_whitespace	spatially disjoint from [RO:0002163]	editor note [IAO:0000116]	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	capable of [RO:0002215]	definition [IAO:0000115]	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	developmentally induced by [RO:0002256]	definition source [IAO:0000119]	 Developmental Biology, Gilbert, 8th edition, figure 6.5(F)	
WARN	annotation_whitespace	results in maturation of [RO:0002299]	example of usage [IAO:0000112]	 an annotation of gene X to cell maturation with results_in_maturation_of CL:0000057 (fibroblast) means that the fibroblast is mature at the end of the process	
WARN	annotation_whitespace	contributes to [RO:0002326]	curator note [IAO:0000232]	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 	
WARN	annotation_whitespace	results in transport along [RO:0002341]	definition [IAO:0000115]	Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l 	
WARN	annotation_whitespace	results in specification of [RO:0002356]	definition [IAO:0000115]	The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. 	
WARN	annotation_whitespace	obsolete has direct output [RO:0002402]	definition [IAO:0000115]	p has direct input c iff c is a participanti n p, c is present at the end of p, and c is not present at the beginning of c. 	
WARN	annotation_whitespace	always present in taxon [RO:0002504]	editor note [IAO:0000116]	This is a very strong relation. Often we will not have enough evidence to know for sure that there are no species within a lineage that lack the structure - loss is common in evolution. However, there are some statements we can make with confidence - no vertebrate lineage could persist without a brain or a heart. All primates are limbed. 	
WARN	annotation_whitespace	sequentially related to [RO:0002514]	definition [IAO:0000115]	A relation that holds between two entities that have the property of being sequences or having sequences. 	
WARN	annotation_whitespace	temporal logical macro assertion on a class [RO:0002535]	curator note [IAO:0000232]	This properties were created originally for the annotation of developmental or life cycle stages, such as for example Carnegie Stage 20 in humans. 	
WARN	annotation_whitespace	in many to many homology relationship with [RO:HOM0000036]	has_exact_synonym [oboInOwl:hasExactSynonym]	many:many homology 	
WARN	annotation_whitespace	ro.owl	homepage [foaf:homepage]	 https://github.com/oborel/obo-relations/^^http://www.w3.org/2001/XMLSchema#anyURI	
WARN	duplicate_exact_synonym	capable of inhibiting or preventing pathological process [RO:0002599]	alternative term [IAO:0000118]	treats	
WARN	duplicate_exact_synonym	is substance that treats [RO:0002606]	alternative term [IAO:0000118]	treats	
WARN	duplicate_exact_synonym	starts with [RO:0002224]	alternative term [IAO:0000118]	started by	
WARN	duplicate_exact_synonym	has start sequence [RO:0002516]	alternative term [IAO:0000118]	started by	
WARN	missing_definition	spatial region [BFO:0000006]	definition [IAO:0000115]		
WARN	missing_definition	disposition [BFO:0000016]	definition [IAO:0000115]		
WARN	missing_definition	quality [BFO:0000019]	definition [IAO:0000115]		
WARN	missing_definition	function [BFO:0000034]	definition [IAO:0000115]		
WARN	missing_definition	immaterial entity [BFO:0000141]	definition [IAO:0000115]		
WARN	missing_definition	anatomical entity [CARO:0000000]	definition [IAO:0000115]		
WARN	missing_definition	connected anatomical structure [CARO:0000003]	definition [IAO:0000115]		
WARN	missing_definition	material anatomical entity [CARO:0000006]	definition [IAO:0000115]		
WARN	missing_definition	immaterial anatomical entity [CARO:0000007]	definition [IAO:0000115]		
WARN	missing_definition	connected anatomical system [CARO:0000011]	definition [IAO:0000115]		
WARN	missing_definition	multi-cell-part structure [CARO:0001000]	definition [IAO:0000115]		
WARN	missing_definition	neuron projection bundle [CARO:0001001]	definition [IAO:0000115]		
WARN	missing_definition	organism or virus or viroid [CARO:0001010]	definition [IAO:0000115]		
WARN	missing_definition	multicellular anatomical structure [CARO:0010000]	definition [IAO:0000115]		
WARN	missing_definition	biological entity [CARO:0030000]	definition [IAO:0000115]		
WARN	missing_definition	cell [CL:0000000]	definition [IAO:0000115]		
WARN	missing_definition	neuron [CL:0000540]	definition [IAO:0000115]		
WARN	missing_definition	biome [ENVO:00000428]	definition [IAO:0000115]		
WARN	missing_definition	environmental system [ENVO:01000254]	definition [IAO:0000115]		
WARN	missing_definition	molecular_function [GO:0003674]	definition [IAO:0000115]		
WARN	missing_definition	catalytic activity [GO:0003824]	definition [IAO:0000115]		
WARN	missing_definition	ubiquitin-protein ligase activity [GO:0004842]	definition [IAO:0000115]		
WARN	missing_definition	nucleus [GO:0005634]	definition [IAO:0000115]		
WARN	missing_definition	behavior [GO:0007610]	definition [IAO:0000115]		
WARN	missing_definition	feeding behavior [GO:0007631]	definition [IAO:0000115]		
WARN	missing_definition	biological_process [GO:0008150]	definition [IAO:0000115]		
WARN	missing_definition	membrane [GO:0016020]	definition [IAO:0000115]		
WARN	missing_definition	kinase activity [GO:0016301]	definition [IAO:0000115]		
WARN	missing_definition	transferase activity [GO:0016740]	definition [IAO:0000115]		
WARN	missing_definition	transferase activity, transferring phosphorus-containing groups [GO:0016772]	definition [IAO:0000115]		
WARN	missing_definition	ligase activity [GO:0016874]	definition [IAO:0000115]		
WARN	missing_definition	ligase activity, forming carbon-nitrogen bonds [GO:0016879]	definition [IAO:0000115]		
WARN	missing_definition	acid-amino acid ligase activity [GO:0016881]	definition [IAO:0000115]		
WARN	missing_definition	small conjugating protein ligase activity [GO:0019787]	definition [IAO:0000115]		
WARN	missing_definition	axon [GO:0030424]	definition [IAO:0000115]		
WARN	missing_definition	dendrite [GO:0030425]	definition [IAO:0000115]		
WARN	missing_definition	presynaptic membrane [GO:0042734]	definition [IAO:0000115]		
WARN	missing_definition	cell projection [GO:0042995]	definition [IAO:0000115]		
WARN	missing_definition	neuron projection [GO:0043005]	definition [IAO:0000115]		
WARN	missing_definition	symbiosis, encompassing mutualism through parasitism [GO:0044403]	definition [IAO:0000115]		
WARN	missing_definition	interspecies interaction between organisms [GO:0044419]	definition [IAO:0000115]		
WARN	missing_definition	synapse part [GO:0044456]	definition [IAO:0000115]		
WARN	missing_definition	cell part [GO:0044464]	definition [IAO:0000115]		
WARN	missing_definition	synapse [GO:0045202]	definition [IAO:0000115]		
WARN	missing_definition	postsynaptic membrane [GO:0045211]	definition [IAO:0000115]		
WARN	missing_definition	response to stimulus [GO:0050896]	definition [IAO:0000115]		
WARN	missing_definition	interaction with symbiont [GO:0051702]	definition [IAO:0000115]		
WARN	missing_definition	multi-organism process [GO:0051704]	definition [IAO:0000115]		
WARN	missing_definition	multi-organism behavior [GO:0051705]	definition [IAO:0000115]		
WARN	missing_definition	acquisition of nutrients from other organism during symbiotic interaction [GO:0051816]	definition [IAO:0000115]		
WARN	missing_definition	acquisition of nutrients from symbiont [GO:0051850]	definition [IAO:0000115]		
WARN	missing_definition	parasitism [GO:0072519]	definition [IAO:0000115]		
WARN	missing_definition	mutualism [GO:0085030]	definition [IAO:0000115]		
WARN	missing_definition	commensalism [GO:0085031]	definition [IAO:0000115]		
WARN	missing_definition	IAO:0000078	definition [IAO:0000115]		
WARN	missing_definition	editor preferred term [IAO:0000111]	definition [IAO:0000115]		
WARN	missing_definition	example of usage [IAO:0000112]	definition [IAO:0000115]		
WARN	missing_definition	has curation status [IAO:0000114]	definition [IAO:0000115]		
WARN	missing_definition	definition [IAO:0000115]	definition [IAO:0000115]		
WARN	missing_definition	editor note [IAO:0000116]	definition [IAO:0000115]		
WARN	missing_definition	term editor [IAO:0000117]	definition [IAO:0000115]		
WARN	missing_definition	alternative term [IAO:0000118]	definition [IAO:0000115]		
WARN	missing_definition	definition source [IAO:0000119]	definition [IAO:0000115]		
WARN	missing_definition	IAO:0000225	definition [IAO:0000115]		
WARN	missing_definition	curator note [IAO:0000232]	definition [IAO:0000115]		
WARN	missing_definition	imported from [IAO:0000412]	definition [IAO:0000115]		
WARN	missing_definition	expand expression to [IAO:0000424]	definition [IAO:0000115]		
WARN	missing_definition	expand assertion to [IAO:0000425]	definition [IAO:0000115]		
WARN	missing_definition	OBO foundry unique label [IAO:0000589]	definition [IAO:0000115]		
WARN	missing_definition	elucidation [IAO:0000600]	definition [IAO:0000115]		
WARN	missing_definition	IAO:0100001	definition [IAO:0000115]		
WARN	missing_definition	quality [PATO:0000001]	definition [IAO:0000115]		
WARN	missing_definition	morphology [PATO:0000051]	definition [IAO:0000115]		
WARN	missing_definition	shape [PATO:0000052]	definition [IAO:0000115]		
WARN	missing_definition	structure [PATO:0000141]	definition [IAO:0000115]		
WARN	missing_definition	branched [PATO:0000402]	definition [IAO:0000115]		
WARN	missing_definition	linear [PATO:0001199]	definition [IAO:0000115]		
WARN	missing_definition	physical object quality [PATO:0001241]	definition [IAO:0000115]		
WARN	missing_definition	branchiness [PATO:0002009]	definition [IAO:0000115]		
WARN	missing_definition	laminar [PATO:0002124]	definition [IAO:0000115]		
WARN	missing_definition	contained in [RO:0001018]	definition [IAO:0000115]		
WARN	missing_definition	contains [RO:0001019]	definition [IAO:0000115]		
WARN	missing_definition	aligned with [RO:0002001]	definition [IAO:0000115]		
WARN	missing_definition	innervated_by [RO:0002005]	definition [IAO:0000115]		
WARN	missing_definition	has synaptic terminal of [RO:0002006]	definition [IAO:0000115]		
WARN	missing_definition	has necessary component activity [RO:0002016]	definition [IAO:0000115]		
WARN	missing_definition	has component activity [RO:0002017]	definition [IAO:0000115]		
WARN	missing_definition	directly regulated by [RO:0002022]	definition [IAO:0000115]		
WARN	missing_definition	before or simultaneous with [RO:0002081]	definition [IAO:0000115]		
WARN	missing_definition	simultaneous with [RO:0002082]	definition [IAO:0000115]		
WARN	missing_definition	before [RO:0002083]	definition [IAO:0000115]		
WARN	missing_definition	during which ends [RO:0002084]	definition [IAO:0000115]		
WARN	missing_definition	encompasses [RO:0002085]	definition [IAO:0000115]		
WARN	missing_definition	ends after [RO:0002086]	definition [IAO:0000115]		
WARN	missing_definition	immediately preceded by [RO:0002087]	definition [IAO:0000115]		
WARN	missing_definition	during which starts [RO:0002088]	definition [IAO:0000115]		
WARN	missing_definition	starts before [RO:0002089]	definition [IAO:0000115]		
WARN	missing_definition	immediately precedes [RO:0002090]	definition [IAO:0000115]		
WARN	missing_definition	starts during [RO:0002091]	definition [IAO:0000115]		
WARN	missing_definition	happens during [RO:0002092]	definition [IAO:0000115]		
WARN	missing_definition	ends during [RO:0002093]	definition [IAO:0000115]		
WARN	missing_definition	releases neurotransmitter [RO:0002111]	definition [IAO:0000115]		
WARN	missing_definition	serially homologous to [RO:0002159]	definition [IAO:0000115]		
WARN	missing_definition	temporally related to [RO:0002222]	definition [IAO:0000115]		
WARN	missing_definition	part of developmental precursor of [RO:0002287]	definition [IAO:0000115]		
WARN	missing_definition	results in formation of [RO:0002297]	definition [IAO:0000115]		
WARN	missing_definition	results in disappearance of [RO:0002300]	definition [IAO:0000115]		
WARN	missing_definition	results in developmental regression of [RO:0002301]	definition [IAO:0000115]		
WARN	missing_definition	causally upstream of, positive effect [RO:0002304]	definition [IAO:0000115]		
WARN	missing_definition	causally upstream of, negative effect [RO:0002305]	definition [IAO:0000115]		
WARN	missing_definition	evolutionary variant of [RO:0002312]	definition [IAO:0000115]		
WARN	missing_definition	confers advantage in [RO:0002322]	definition [IAO:0000115]		
WARN	missing_definition	contributes to [RO:0002326]	definition [IAO:0000115]		
WARN	missing_definition	enables [RO:0002327]	definition [IAO:0000115]		
WARN	missing_definition	results in growth of [RO:0002343]	definition [IAO:0000115]		
WARN	missing_definition	results in transport to from or in [RO:0002344]	definition [IAO:0000115]		
WARN	missing_definition	exports [RO:0002345]	definition [IAO:0000115]		
WARN	missing_definition	formed as result of [RO:0002354]	definition [IAO:0000115]		
WARN	missing_definition	has dendrite location [RO:0002360]	definition [IAO:0000115]		
WARN	missing_definition	immediately causally downstream of [RO:0002405]	definition [IAO:0000115]		
WARN	missing_definition	directly inhibits [RO:0002408]	definition [IAO:0000115]		
WARN	missing_definition	indirectly inhibits [RO:0002409]	definition [IAO:0000115]		
WARN	missing_definition	logical macro assertion on an annotation property [RO:0002423]	definition [IAO:0000115]		
WARN	missing_definition	differs in [RO:0002424]	definition [IAO:0000115]		
WARN	missing_definition	differs in attribute of [RO:0002425]	definition [IAO:0000115]		
WARN	missing_definition	differs in attribute [RO:0002426]	definition [IAO:0000115]		
WARN	missing_definition	genetically interacts with [RO:0002435]	definition [IAO:0000115]		
WARN	missing_definition	parasite of [RO:0002444]	definition [IAO:0000115]		
WARN	missing_definition	parasitized by [RO:0002445]	definition [IAO:0000115]		
WARN	missing_definition	phosphorylates [RO:0002447]	definition [IAO:0000115]		
WARN	missing_definition	host of [RO:0002453]	definition [IAO:0000115]		
WARN	missing_definition	has host [RO:0002454]	definition [IAO:0000115]		
WARN	missing_definition	pollinates [RO:0002455]	definition [IAO:0000115]		
WARN	missing_definition	pollinated by [RO:0002456]	definition [IAO:0000115]		
WARN	missing_definition	acquires nutrients from [RO:0002457]	definition [IAO:0000115]		
WARN	missing_definition	is vector for [RO:0002459]	definition [IAO:0000115]		
WARN	missing_definition	has vector [RO:0002460]	definition [IAO:0000115]		
WARN	missing_definition	partner in [RO:0002461]	definition [IAO:0000115]		
WARN	missing_definition	subject participant in [RO:0002462]	definition [IAO:0000115]		
WARN	missing_definition	target participant in [RO:0002463]	definition [IAO:0000115]		
WARN	missing_definition	helper property (not for use in curation) [RO:0002464]	definition [IAO:0000115]		
WARN	missing_definition	is symbiosis [RO:0002465]	definition [IAO:0000115]		
WARN	missing_definition	is commensalism [RO:0002466]	definition [IAO:0000115]		
WARN	missing_definition	is mutualism [RO:0002467]	definition [IAO:0000115]		
WARN	missing_definition	is parasitism [RO:0002468]	definition [IAO:0000115]		
WARN	missing_definition	provides nutrients for [RO:0002469]	definition [IAO:0000115]		
WARN	missing_definition	eats [RO:0002470]	definition [IAO:0000115]		
WARN	missing_definition	is eaten by [RO:0002471]	definition [IAO:0000115]		
WARN	missing_definition	is kinase activity [RO:0002481]	definition [IAO:0000115]		
WARN	missing_definition	is ubiquitination [RO:0002482]	definition [IAO:0000115]		
WARN	missing_definition	inherited annotation property [RO:0002483]	definition [IAO:0000115]		
WARN	missing_definition	receives input from [RO:0002485]	definition [IAO:0000115]		
WARN	missing_definition	sends output to [RO:0002486]	definition [IAO:0000115]		
WARN	missing_definition	relation between physical entity and a process or stage [RO:0002487]	definition [IAO:0000115]		
WARN	missing_definition	depends on [RO:0002502]	definition [IAO:0000115]		
WARN	missing_definition	causal relation between material entities [RO:0002506]	definition [IAO:0000115]		
WARN	missing_definition	temporal logical macro assertion on a class [RO:0002535]	definition [IAO:0000115]		
WARN	missing_definition	measurement property has unit [RO:0002536]	definition [IAO:0000115]		
WARN	missing_definition	has start time value [RO:0002537]	definition [IAO:0000115]		
WARN	missing_definition	has end time value [RO:0002538]	definition [IAO:0000115]		
WARN	missing_definition	start, weeks post birth [RO:0002549]	definition [IAO:0000115]		
WARN	missing_definition	end, weeks post birth [RO:0002550]	definition [IAO:0000115]		
WARN	missing_definition	allelopath of [RO:0002555]	definition [IAO:0000115]		
WARN	missing_definition	pathogen of [RO:0002556]	definition [IAO:0000115]		
WARN	missing_definition	has pathogen [RO:0002557]	definition [IAO:0000115]		
WARN	missing_definition	causally influenced by [RO:0002559]	definition [IAO:0000115]		
WARN	missing_definition	interaction relation helper property [RO:0002563]	definition [IAO:0000115]		
WARN	missing_definition	molecular interaction relation helper property [RO:0002564]	definition [IAO:0000115]		
WARN	missing_definition	participates in a biotic-biotic interaction with [RO:0002574]	definition [IAO:0000115]		
WARN	missing_definition	logical macro assertion on an axiom [RO:0002580]	definition [IAO:0000115]		
WARN	missing_definition	results in closure of [RO:0002585]	definition [IAO:0000115]		
WARN	missing_definition	results in synthesis of [RO:0002587]	definition [IAO:0000115]		
WARN	missing_definition	results in assembly of [RO:0002588]	definition [IAO:0000115]		
WARN	missing_definition	results in disassembly of [RO:0002590]	definition [IAO:0000115]		
WARN	missing_definition	results in remodeling of [RO:0002591]	definition [IAO:0000115]		
WARN	missing_definition	evidential logical macro assertion on an axiom [RO:0002611]	definition [IAO:0000115]		
WARN	missing_definition	related via evidence or inference to [RO:0002616]	definition [IAO:0000115]		
WARN	missing_definition	visits [RO:0002618]	definition [IAO:0000115]		
WARN	missing_definition	visited by [RO:0002619]	definition [IAO:0000115]		
WARN	missing_definition	visits flowers of [RO:0002622]	definition [IAO:0000115]		
WARN	missing_definition	has flowers visited by [RO:0002623]	definition [IAO:0000115]		
WARN	missing_definition	lays eggs in [RO:0002624]	definition [IAO:0000115]		
WARN	missing_definition	has eggs laid in by [RO:0002625]	definition [IAO:0000115]		
WARN	missing_definition	kills [RO:0002626]	definition [IAO:0000115]		
WARN	missing_definition	is killed by [RO:0002627]	definition [IAO:0000115]		
WARN	missing_definition	endoparasite of [RO:0002634]	definition [IAO:0000115]		
WARN	missing_definition	has endoparasite [RO:0002635]	definition [IAO:0000115]		
WARN	missing_definition	condition has genetic basis in [RO:0004000]	definition [IAO:0000115]		
WARN	missing_definition	has material basis in gain of function germline mutation in [RO:0004001]	definition [IAO:0000115]		
WARN	missing_definition	has material basis in loss of function germline mutation in [RO:0004002]	definition [IAO:0000115]		
WARN	missing_definition	has material basis in germline mutation in [RO:0004003]	definition [IAO:0000115]		
WARN	missing_definition	has material basis in somatic mutation in [RO:0004004]	definition [IAO:0000115]		
WARN	missing_definition	has major susceptibility factor [RO:0004005]	definition [IAO:0000115]		
WARN	missing_definition	has partial material basis in germline mutation in [RO:0004006]	definition [IAO:0000115]		
WARN	missing_definition	is genetic basis for condition [RO:0004010]	definition [IAO:0000115]		
WARN	missing_definition	realizable has basis in [RO:0004017]	definition [IAO:0000115]		
WARN	missing_definition	is basis for realizable [RO:0004018]	definition [IAO:0000115]		
WARN	missing_definition	disease has basis in [RO:0004019]	definition [IAO:0000115]		
WARN	missing_definition	causal relationship with disease as subject [RO:0004023]	definition [IAO:0000115]		
WARN	missing_definition	disease causes dysfunction of [RO:0004025]	definition [IAO:0000115]		
WARN	missing_definition	acts upstream of or within, positive effect [RO:0004032]	definition [IAO:0000115]		
WARN	missing_definition	acts upstream of or within, negative effect [RO:0004033]	definition [IAO:0000115]		
WARN	missing_definition	causally upstream of or within, negative effect [RO:0004046]	definition [IAO:0000115]		
WARN	missing_definition	causally upstream of or within, positive effect [RO:0004047]	definition [IAO:0000115]		
WARN	missing_definition	is positive form of [RO:0004049]	definition [IAO:0000115]		
WARN	missing_definition	is negative form of [RO:0004050]	definition [IAO:0000115]		
WARN	missing_definition	phenotype [UPHENO:0001001]	definition [IAO:0000115]		
WARN	missing_definition	Obsolete Class [oboInOwl:ObsoleteClass]	definition [IAO:0000115]		
WARN	missing_definition	subset_property [oboInOwl:SubsetProperty]	definition [IAO:0000115]		
WARN	missing_definition	has_broad_synonym [oboInOwl:hasBroadSynonym]	definition [IAO:0000115]		
WARN	missing_definition	database_cross_reference [oboInOwl:hasDbXref]	definition [IAO:0000115]		
WARN	missing_definition	has_exact_synonym [oboInOwl:hasExactSynonym]	definition [IAO:0000115]		
WARN	missing_definition	has_obo_format_version [oboInOwl:hasOBOFormatVersion]	definition [IAO:0000115]		
WARN	missing_definition	has_related_synonym [oboInOwl:hasRelatedSynonym]	definition [IAO:0000115]		
WARN	missing_definition	in_subset [oboInOwl:inSubset]	definition [IAO:0000115]		
WARN	missing_definition	shorthand [oboInOwl:shorthand]	definition [IAO:0000115]		
INFO	lowercase_definition	part of [BFO:0000050]	definition [IAO:0000115]	a core relation that holds between a part and its whole@en	
INFO	lowercase_definition	has part [BFO:0000051]	definition [IAO:0000115]	a core relation that holds between a whole and its part@en	
INFO	lowercase_definition	realized in [BFO:0000054]	elucidation [IAO:0000600]	[copied from inverse property 'realizes'] to say that b realizes c at t is to assert that there is some material entity d & b is a process which has participant d at t & c is a disposition or role of which d is bearer_of at t& the type instantiated by b is correlated with the type instantiated by c. (axiom label in BFO2 Reference: [059-003])@en	
INFO	lowercase_definition	realizes [BFO:0000055]	elucidation [IAO:0000600]	to say that b realizes c at t is to assert that there is some material entity d & b is a process which has participant d at t & c is a disposition or role of which d is bearer_of at t& the type instantiated by b is correlated with the type instantiated by c. (axiom label in BFO2 Reference: [059-003])@en	
