property,label,def,superPropertyList
http://purl.obolibrary.org/obo/RO_0002635,has endoparasite,,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002236,root parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host root (PO:0009005),http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002444,parasite of,,http://purl.obolibrary.org/obo/RO_0002454 http://purl.obolibrary.org/obo/RO_0002443
http://purl.obolibrary.org/obo/RO_0002624,lays eggs in,,http://purl.obolibrary.org/obo/RO_0002444 http://purl.obolibrary.org/obo/RO_0002618
http://purl.obolibrary.org/obo/RO_0002457,acquires nutrients from,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002470,eats,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002227,obligate parasite of,A sub-relation of parasite-of in which the parasite that cannot complete its life cycle without a host.,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002471,is eaten by,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002443,interacts with via parasite-host interaction,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which association is disadvantageous or destructive to one of the organisms (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0008507,lays eggs on,An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.,http://purl.obolibrary.org/obo/RO_0002618
http://purl.obolibrary.org/obo/RO_0002636,mesoparasite of,A sub-relation of parasite-of in which the parasite is partially an endoparasite and partially an ectoparasite,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0008504,kleptoparasitized by,inverse of kleptoparasite of,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002553,hyperparasite of,x is a hyperparasite of y iff x is a parasite of a parasite of the target organism y,http://purl.obolibrary.org/obo/RO_0002454
http://purl.obolibrary.org/obo/RO_0002438,trophically interacts with,An interaction relationship in which the partners are related via a feeding relationship.,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002555,allelopath of,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002633,has ectoparasite,inverse of ectoparasite of,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002446,participates in a abiotic-biotic interaction with,"A biotic interaction relationship in which one partner is an organism and the other partner is inorganic. For example, the relationship between a sponge and the substrate to which is it anchored.",http://purl.obolibrary.org/obo/RO_0002437
http://purl.obolibrary.org/obo/RO_0002439,preys on,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members",http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002235,stem parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host stem (PO:0009047),http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002442,mutualistically interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002618,visits,,http://purl.obolibrary.org/obo/RO_0002444 http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002228,facultative parasite of,A sub-relations of parasite-of in which the parasite that can complete its life cycle independent of a host.,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002437,biotically interacts with,An interaction relationship in which at least one of the partners is an organism and the other is either an organism or an abiotic entity with which the organism interacts.,
http://purl.obolibrary.org/obo/RO_0002623,has flowers visited by,,http://purl.obolibrary.org/obo/RO_0002619
http://purl.obolibrary.org/obo/RO_0002453,host of,,http://purl.obolibrary.org/obo/RO_0002440 http://purl.obolibrary.org/obo/RO_0002443
http://purl.obolibrary.org/obo/RO_0002641,has intracellular endoparasite,inverse of intracellular endoparasite of,http://purl.obolibrary.org/obo/RO_0002635
http://purl.obolibrary.org/obo/RO_0002455,pollinates,,http://purl.obolibrary.org/obo/RO_0002442
http://purl.obolibrary.org/obo/RO_0002469,provides nutrients for,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002440,symbiotically interacts with,A biotic interaction in which the two organisms live together in more or less intimate association.,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002454,has host,,http://purl.obolibrary.org/obo/RO_0002440 http://purl.obolibrary.org/obo/RO_0002443
http://purl.obolibrary.org/obo/RO_0002459,is vector for,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002554,hyperparasitized by,inverse of hyperparasite of,http://purl.obolibrary.org/obo/RO_0002453
http://purl.obolibrary.org/obo/RO_0002456,pollinated by,,http://purl.obolibrary.org/obo/RO_0002442
http://purl.obolibrary.org/obo/RO_0008501,epiphyte of,An interaction relationship wherein a plant or algae is living on the outside surface of another plant.,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0008508,has eggs laid on by,An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.,http://purl.obolibrary.org/obo/RO_0002619
http://purl.obolibrary.org/obo/RO_0002458,preyed upon by,inverse of preys on,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002637,has mesoparasite,inverse of mesoparasite of,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002441,commensually interacts with,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002627,is killed by,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002626,kills,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0008502,has epiphyte,inverse of epiphyte of,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002556,pathogen of,,http://purl.obolibrary.org/obo/RO_0002454
http://purl.obolibrary.org/obo/RO_0002639,has intercellular endoparasite,inverse of intercellular endoparasite of,http://purl.obolibrary.org/obo/RO_0002635
http://purl.obolibrary.org/obo/RO_0002445,parasitized by,,http://purl.obolibrary.org/obo/RO_0002453 http://purl.obolibrary.org/obo/RO_0002443
http://purl.obolibrary.org/obo/RO_0002619,visited by,,http://purl.obolibrary.org/obo/RO_0002574 http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002638,intercellular endoparasite of,A sub-relation of endoparasite-of in which the parasite inhabits the spaces between host cells.,http://purl.obolibrary.org/obo/RO_0002634
http://purl.obolibrary.org/obo/RO_0002557,has pathogen,,http://purl.obolibrary.org/obo/RO_0002453
http://purl.obolibrary.org/obo/RO_0002209,has parasitoid,inverse of parasitoid of,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002208,parasitoid of,A parasite that kills or sterilizes its host,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002237,hemiparasite of,"A sub-relation of parasite-of in which the parasite is a plant, and the parasite is parasitic under natural conditions and is also photosynthetic to some degree. Hemiparasites may just obtain water and mineral nutrients from the host plant. Many obtain at least part of their organic nutrients from the host as well.",http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002640,intracellular endoparasite of,A sub-relation of endoparasite-of in which the parasite inhabits host cells.,http://purl.obolibrary.org/obo/RO_0002634
http://purl.obolibrary.org/obo/RO_0002460,has vector,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002625,has eggs laid in by,,http://purl.obolibrary.org/obo/RO_0002445 http://purl.obolibrary.org/obo/RO_0002619
http://purl.obolibrary.org/obo/RO_0008503,kleptoparasite of,"A sub-relation of parasite of in which a parasite steals resources from another organism, usually food or nest material",http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002574,participates in a biotic-biotic interaction with,,http://purl.obolibrary.org/obo/RO_0002437
http://purl.obolibrary.org/obo/RO_0002634,endoparasite of,,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002622,visits flowers of,,http://purl.obolibrary.org/obo/RO_0002618
http://purl.obolibrary.org/obo/RO_0002632,ectoparasite of,A sub-relation of parasite-of in which the parasite lives on or in the integumental system of the host,http://purl.obolibrary.org/obo/RO_0002444
